Unnamed: 0,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,prediction
1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0
7,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
8,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,3
11,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
12,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
17,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
18,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
27,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,4
33,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0
53,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,2
57,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,1
64,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,0
70,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
89,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
91,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,1
93,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
94,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0
97,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
98,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,5
